symbol,quantity,avg_price,current_price,market_value,cost_basis,unrealized_pnl,unrealized_pnl_pct,change_today,change_today_pct,last_updated
AAPL,30,255.790333,255.78,7673.4,7673.70999,-0.30999,-0.004,0,0,2026-02-16T09:30:04.338263
ABBV,20,222.8705,231.5,4630,4457.41,172.59,3.872,0,0,2026-02-16T09:30:04.338263
BAC,134,55.863134,52.55,7041.7,7485.659956,-443.959956,-5.931,0,0,2026-02-16T09:30:04.338263
BRK.B,8,499.92,497.55,3980.4,3999.36,-18.96,-0.47400000000000003,0,0,2026-02-16T09:30:04.338263
CSCO,90,76.78,76.85,6916.5,6910.2,6.3,0.091,0,0,2026-02-16T09:30:04.338263
HD,14,356.93,391.05,5474.7,4997.02,477.68,9.559,0,0,2026-02-16T09:30:04.338263
JNJ,29,206.25931,243.45,7060.05,5981.51999,1078.53001,18.031,0,0,2026-02-16T09:30:04.338263
JPM,24,299.23,302.55,7261.2,7181.52,79.68,1.11,0,0,2026-02-16T09:30:04.338263
KO,63,73.9,78.68,4956.84,4655.7,301.14,6.468,0,0,2026-02-16T09:30:04.338263
MA,15,540,518.36,7775.4,8100,-324.6,-4.007000000000001,0,0,2026-02-16T09:30:04.338263
MMM,20,152.45,171.82,3436.4,3049,387.4,12.706000000000001,0,0,2026-02-16T09:30:04.338263
MO,61,57.52,67.25,4102.25,3508.72,593.53,16.916,0,0,2026-02-16T09:30:04.338263
MSFT,10,413.912,401.32,4013.2,4139.12,-125.92,-3.042,0,0,2026-02-16T09:30:04.338263
NEE,80,78.933125,93.8,7504,6314.65,1189.35,18.834999999999997,0,0,2026-02-16T09:30:04.338263
PEP,20,153.4725,165.94,3318.8,3069.45,249.35,8.124,0,0,2026-02-16T09:30:04.338263
PFE,40,27.71,27.58,1103.2,1108.4,-5.2,-0.469,0,0,2026-02-16T09:30:04.338263
PG,31,146.236266,160.07,4962.17,4533.324246,428.845754,9.46,0,0,2026-02-16T09:30:04.338263
SO,60,85.227333,94.95,5697,5113.63998,583.36002,11.408,0,0,2026-02-16T09:30:04.338263
UNH,10,271.64,293.19,2931.9,2716.4,215.5,7.933,0,0,2026-02-16T09:30:04.338263
V,14,345.44,314.08,4397.12,4836.16,-439.04,-9.078,0,0,2026-02-16T09:30:04.338263
WMT,40,112.248,133.89,5355.6,4489.92,865.68,19.281000000000002,0,0,2026-02-16T09:30:04.338263
