symbol,quantity,avg_price,current_price,market_value,cost_basis,unrealized_pnl,unrealized_pnl_pct,change_today,change_today_pct,last_updated
AAPL,30,255.790333,259.925,7797.75,7673.71,124.04,1.616,0.00171,0,2026-02-02T09:30:04.264276
ABBV,30,226.29,224.84,6745.2,6788.7,-43.5,-0.641,0.00821,0,2026-02-02T09:30:04.264276
BAC,134,55.863134,53.2,7128.8,7485.659956,-356.859956,-4.7669999999999995,0,0,2026-02-02T09:30:04.264276
CSCO,90,76.78,78.22,7039.8,6910.2,129.6,1.875,-0.00128,0,2026-02-02T09:30:04.264276
CVX,40,148.2948,173.14,6925.6,5931.792,993.808,16.753999999999998,-0.02125,0,2026-02-02T09:30:04.264276
HD,14,356.93,373.785,5232.99,4997.02,235.97,4.7219999999999995,-0.00215,0,2026-02-02T09:30:04.264276
INTC,100,37.2437,45.785,4578.5,3724.37,854.13,22.933999999999997,-0.01474,0,2026-02-02T09:30:04.264276
JNJ,29,206.25931,228.205,6617.945,5981.52,636.425,10.639999999999999,0.0042,0,2026-02-02T09:30:04.264276
JPM,24,299.23,304.335,7304.04,7181.52,122.52,1.706,-0.00508,0,2026-02-02T09:30:04.264276
KO,63,73.9,75.02,4726.26,4655.7,70.56,1.516,0.00281,0,2026-02-02T09:30:04.264276
MO,61,57.52,62.3295,3802.0995,3508.72,293.3795,8.361,0.00548,0,2026-02-02T09:30:04.264276
NEE,80,78.933125,88.16,7052.8,6314.65,738.15,11.689,0.00296,0,2026-02-02T09:30:04.264276
PFE,100,25.04,26.41,2641,2504,137,5.471,-0.00113,0,2026-02-02T09:30:04.264276
PG,31,146.236266,152.42,4725.02,4533.324231,191.695769,4.229,0.00428,0,2026-02-02T09:30:04.264276
SO,60,85.227333,89.43,5365.8,5113.64,252.16,4.931,0.00134,0,2026-02-02T09:30:04.264276
T,128,24.93,26.285,3364.48,3191.04,173.44,5.4350000000000005,0.00286,0,2026-02-02T09:30:04.264276
V,14,345.44,325.52,4557.28,4836.16,-278.88,-5.7669999999999995,0.01147,0,2026-02-02T09:30:04.264276
WMT,40,112.248,119.925,4797,4489.92,307.08,6.839,0.00659,0,2026-02-02T09:30:04.264276
XOM,10,116.9,139.99,1399.9,1169,230.9,19.752,-0.00997,0,2026-02-02T09:30:04.264276
