symbol,quantity,avg_price,current_price,pnl,pnl_pct,side,date_acquired
AAPL,84,226.87,238.15,947.34,4.97%,long,2025-09-16
CVX,31,157.87,158.85,30.54,0.62%,long,2025-09-16
GOOGL,24,237.86,252.03,340.03,5.96%,long,2025-09-16
HD,12,416.53,417.48,11.4,0.23%,long,2025-09-16
JNJ,30,175.38,174.16,-36.6,-0.70%,long,2025-09-16
JPM,64,299.23,313.23,896.0,4.68%,long,2025-09-16
MSFT,34,500.62,508.45,266.15,1.56%,long,2025-09-16
NVDA,60,175.99,176.26,16.2,0.15%,long,2025-09-16
PG,33,157.82,157.28,-17.82,-0.34%,long,2025-09-16
WMT,35,103.84,103.6,-8.4,-0.23%,long,2025-09-16
XOM,44,112.23,113.95,75.68,1.53%,long,2025-09-16
