Metric,Value
Date,2026-02-15
Time,16:00:04
Portfolio Value,"$97,071.88"
Buying Power,"$237,195.09"
Day P&L,$0.00
Day P&L %,0.00%
Position Count,18

Symbol,Quantity,Market Value,Cost Basis,Unrealized P&L,P&L %,Current Price,Avg Entry
AMD,25,"$5,183.00","$5,217.59",$-34.59,-0.66%,$207.32,$208.70
AMZN,20,"$3,975.80","$4,792.60",$-816.80,-17.04%,$198.79,$239.63
BAC,150,"$7,882.50","$8,437.50",$-555.00,-6.58%,$52.55,$56.25
COIN,30,"$4,929.60","$4,825.80",$103.80,2.15%,$164.32,$160.86
CRM,25,"$4,743.00","$4,664.60",$78.40,1.68%,$189.72,$186.58
CVX,-1,$-183.74,$-157.27,$-26.47,-16.84%,$183.74,$157.27
DKNG,150,"$3,264.00","$4,050.00",$-786.00,-19.41%,$21.76,$27.00
MARA,400,"$3,168.00","$3,032.92",$135.08,4.45%,$7.92,$7.58
MRK,50,"$6,070.50","$5,528.76",$541.74,9.80%,$121.41,$110.58
NU,200,"$3,364.00","$3,126.00",$238.00,7.61%,$16.82,$15.63
NVDA,25,"$4,570.25","$4,749.68",$-179.43,-3.78%,$182.81,$189.99
OXY,150,"$6,910.50","$5,952.00",$958.50,16.10%,$46.07,$39.68
PANW,40,"$6,678.00","$6,287.80",$390.20,6.21%,$166.95,$157.19
RIOT,300,"$4,566.00","$4,230.92",$335.08,7.92%,$15.22,$14.10
SMCI,200,"$6,108.00","$6,044.78",$63.22,1.05%,$30.54,$30.22
SPY,10,"$6,817.50","$6,491.02",$326.48,5.03%,$681.75,$649.10
UBER,100,"$6,999.00","$7,278.61",$-279.61,-3.84%,$69.99,$72.79
ZM,50,"$4,630.00","$4,393.75",$236.25,5.38%,$92.60,$87.88
