Metric,Value
Date,2026-02-17
Time,10:00:04
Portfolio Value,"$95,047.34"
Buying Power,"$211,397.74"
Day P&L,"$-2,024.54"
Day P&L %,-2.09%
Position Count,20

Symbol,Quantity,Market Value,Cost Basis,Unrealized P&L,P&L %,Current Price,Avg Entry
AMD,25,"$4,906.88","$5,217.59",$-310.71,-5.96%,$196.28,$208.70
AMZN,20,"$3,955.30","$4,792.60",$-837.30,-17.47%,$197.76,$239.63
BAC,150,"$7,983.00","$8,437.50",$-454.50,-5.39%,$53.22,$56.25
COIN,30,"$4,801.80","$4,825.80",$-24.00,-0.50%,$160.06,$160.86
CRM,75,"$13,864.50","$14,248.88",$-384.38,-2.70%,$184.86,$189.99
CVX,-1,$-179.07,$-157.27,$-21.80,-13.87%,$179.07,$157.27
MARA,400,"$3,028.00","$3,032.92",$-4.92,-0.16%,$7.57,$7.58
MRK,50,"$6,095.25","$5,528.76",$566.49,10.25%,$121.91,$110.58
NU,200,"$3,338.00","$3,126.00",$212.00,6.78%,$16.69,$15.63
NVDA,25,"$4,481.00","$4,749.68",$-268.68,-5.66%,$179.24,$189.99
OXY,150,"$6,780.00","$5,952.00",$828.00,13.91%,$45.20,$39.68
PANW,40,"$6,431.60","$6,287.80",$143.80,2.29%,$160.79,$157.19
RIOT,300,"$4,302.00","$4,230.92",$71.08,1.68%,$14.34,$14.10
SMCI,200,"$5,986.00","$6,044.78",$-58.78,-0.97%,$29.93,$30.22
SOFI,400,"$7,682.00","$7,696.00",$-14.00,-0.18%,$19.20,$19.24
SPY,10,"$6,764.80","$6,491.02",$273.78,4.22%,$676.48,$649.10
TSLA,20,"$8,061.60","$8,093.60",$-32.00,-0.40%,$403.08,$404.68
UBER,100,"$6,993.50","$7,278.61",$-285.11,-3.92%,$69.94,$72.79
W,100,"$8,249.00","$8,248.79",$0.21,0.00%,$82.49,$82.49
ZM,50,"$4,471.00","$4,393.75",$77.25,1.76%,$89.42,$87.88
