symbol,quantity,avg_price,current_price,pnl,pnl_pct,side,date_acquired
AAPL,84,226.87,238.02,936.32,4.91%,long,2025-09-16
CVX,31,157.87,158.48,18.77,0.38%,long,2025-09-16
GOOGL,24,237.86,250.84,311.47,5.46%,long,2025-09-16
HD,12,416.53,419.14,31.32,0.63%,long,2025-09-16
JNJ,30,175.38,175.39,0.3,0.01%,long,2025-09-16
JPM,64,299.23,311.95,814.08,4.25%,long,2025-09-16
MSFT,34,500.62,509.05,286.55,1.68%,long,2025-09-16
NVDA,60,175.99,176.31,18.94,0.18%,long,2025-09-16
PG,33,157.82,157.81,-0.17,-0.00%,long,2025-09-16
WMT,35,103.84,103.81,-1.05,-0.03%,long,2025-09-16
XOM,44,112.23,113.75,66.66,1.35%,long,2025-09-16
