symbol,qty,avg_entry_price,current_price,market_value,unrealized_pl,unrealized_plpc,side,exchange,asset_class,timestamp
KO,400,66.0125,66.0188,26407.52,2.52,0.00954364703655,long,NYSE,us_equity,2025-09-29T12:18:34.287948
AAPL,84,226.914237,253.8,21319.2,2258.404092,11.84842491835362,long,NASDAQ,us_equity,2025-09-29T12:18:34.287882
JPM,64,299.23,314.85,20150.4,999.68,5.22006483307155,long,NYSE,us_equity,2025-09-29T12:18:34.287942
MSFT,34,500.622059,514.3405,17487.577,466.427,2.7402790058251103,long,NASDAQ,us_equity,2025-09-29T12:18:34.287953
NVDA,-60,181.603333,181.58,-10894.8,1.4,0.012848515996399999,short,NASDAQ,us_equity,2025-09-29T12:18:34.287989
AMZN,42,223.165,221.32,9295.44,-77.49,-0.82674254475388,long,NASDAQ,us_equity,2025-09-29T12:18:34.287910
GOOGL,24,237.862083,248.14,5955.36,246.67,4.3209562964533,long,NASDAQ,us_equity,2025-09-29T12:18:34.287926
XOM,44,112.23,114.39,5033.16,95.04,1.92461908580593,long,NYSE,us_equity,2025-09-29T12:18:34.288002
HD,12,416.53,404.9,4858.8,-139.56,-2.7921158139869897,long,NYSE,us_equity,2025-09-29T12:18:34.287932
CVX,31,157.87,156.36,4847.16,-46.81,-0.9564831823652401,long,NYSE,us_equity,2025-09-29T12:18:34.287920
WMT,35,103.84,102.7111,3594.8885,-39.5115,-1.08715331278891,long,NYSE,us_equity,2025-09-29T12:18:34.287996
JNJ,10,175.38,180.86,1808.6,54.8,3.1246436309727397,long,NYSE,us_equity,2025-09-29T12:18:34.287937
