Date,Ticker,Shares,Buy Price,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity,Bot,Side
2025-09-30,AAPL,84.0,226.914237,19060.795908,,254.74,21398.16,2337.364092,HOLD,,,DEE-BOT,long
2025-09-30,AMZN,42.0,223.165,9372.93,,219.05,9200.1,-172.83,HOLD,,,DEE-BOT,long
2025-09-30,CVX,31.0,157.87,4893.97,,154.666,4794.646,-99.324,HOLD,,,DEE-BOT,long
2025-09-30,GOOGL,24.0,237.862083,5708.69,,240.63,5775.12,66.43,HOLD,,,DEE-BOT,long
2025-09-30,JPM,64.0,299.23,19150.72,,314.35,20118.4,967.68,HOLD,,,DEE-BOT,long
2025-09-30,MSFT,34.0,500.622059,17021.15,,512.75,17433.5,412.35,HOLD,,,DEE-BOT,long
2025-09-30,PG,160.0,152.49825,24399.72,,154.0151,24642.416,242.696,HOLD,,,DEE-BOT,long
2025-09-30,XOM,44.0,112.23,4938.12,,112.92,4968.48,30.36,HOLD,,,DEE-BOT,long
2025-09-30,TOTAL,,,,,,108330.82,3784.726092,,-4296.57,104034.25,DEE-BOT,
2025-09-30,AAPL,84.0,226.914237,19060.795908,,254.74,21398.16,2337.364092,HOLD,,,DEE-BOT,long
2025-09-30,AMZN,42.0,223.165,9372.93,,219.519,9219.798,-153.132,HOLD,,,DEE-BOT,long
2025-09-30,CVX,31.0,157.87,4893.97,,154.28,4782.68,-111.29,HOLD,,,DEE-BOT,long
2025-09-30,JPM,64.0,299.23,19150.72,,310.46,19869.44,718.72,HOLD,,,DEE-BOT,long
2025-09-30,MSFT,34.0,500.622059,17021.15,,516.52,17561.68,540.53,HOLD,,,DEE-BOT,long
2025-09-30,PG,160.0,152.49825,24399.72,,153.74,24598.4,198.68,HOLD,,,DEE-BOT,long
2025-09-30,XOM,44.0,112.23,4938.12,,112.545,4951.98,13.86,HOLD,,,DEE-BOT,long
2025-09-30,TOTAL,,,,,,102382.14,3544.7320919999997,,1487.47,103869.61,DEE-BOT,
