symbol,qty,avg_entry_price,current_price,market_value,unrealized_pl,unrealized_plpc,side,exchange,asset_class,timestamp
PG,-132,153.037424,152.675,-20153.1,47.84,0.23682066280084,short,NYSE,us_equity,2025-09-29T12:18:34.392876
DAKT,743,20.97,20.8,15454.4,-126.31,-0.81068192656175,long,NASDAQ,us_equity,2025-09-29T12:18:34.392833
CVX,-93,157.265054,156.36,-14541.48,84.17,0.5754957899307,short,NYSE,us_equity,2025-09-29T12:18:34.392829
UNH,42,341.419048,343.77,14438.34,98.74,0.68858266618316,long,NYSE,us_equity,2025-09-29T12:18:34.392899
AMZN,63,226.42619,221.32,13943.16,-321.69,-2.25512360802953,long,NASDAQ,us_equity,2025-09-29T12:18:34.392817
IONQ,-200,74.57925,64.0891,-12817.82,2098.03,14.06577566816507,short,NYSE,us_equity,2025-09-29T12:18:34.392855
SPY,18,649.101667,663.23,11938.14,254.31,2.1765979135266402,long,ARCA,us_equity,2025-09-29T12:18:34.392892
RIVN,714,14.495,15.27,10902.78,553.35,5.34667126595378,long,NASDAQ,us_equity,2025-09-29T12:18:34.392884
NCNO,-348,29.72,27.985,-9738.78,603.78,5.83781965006729,short,NASDAQ,us_equity,2025-09-29T12:18:34.392867
MFIC,770,12.16,11.9,9163.0,-200.2,-2.1381578947368403,long,NASDAQ,us_equity,2025-09-29T12:18:34.392864
SRRK,193,32.109534,38.86,7499.98,1302.84,21.02324620712135,long,NASDAQ,us_equity,2025-09-29T12:18:34.392895
FBIO,1708,3.808504,3.875,6618.5,113.575986,1.7460001954759201,long,NASDAQ,us_equity,2025-09-29T12:18:34.392842
ORCL,21,239.04,282.67,5936.07,916.23,18.25217536813922,long,NYSE,us_equity,2025-09-29T12:18:34.392871
INCY,61,83.97,83.69,5105.09,-17.08,-0.33345242348458,long,NASDAQ,us_equity,2025-09-29T12:18:34.392849
AAPL,-15,256.585333,253.8,-3807.0,41.78,1.08553879411138,short,NASDAQ,us_equity,2025-09-29T12:18:34.392796
GPK,142,21.07,19.245,2732.79,-259.15,-8.66160417655434,long,NYSE,us_equity,2025-09-29T12:18:34.392846
RGTI,65,15.350692,29.775,1935.375,937.58,93.96519325111872,long,NASDAQ,us_equity,2025-09-29T12:18:34.392880
BTBT,570,2.66,3.1501,1795.557,279.357,18.42481203007519,long,NASDAQ,us_equity,2025-09-29T12:18:34.392824
KSS,90,16.496,15.635,1407.15,-77.49,-5.21944713870029,long,NYSE,us_equity,2025-09-29T12:18:34.392859
EMBC,68,15.23,13.86,942.48,-93.16,-8.99540380827315,long,NASDAQ,us_equity,2025-09-29T12:18:34.392838
SAVA,200,2.17,2.95,590.0,156.0,35.94470046082949,long,NASDAQ,us_equity,2025-09-29T12:18:34.392888
