Date,Ticker,Shares,Buy Price,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity,Bot,Side
2025-09-30,AMZN,63.0,226.42619,14264.85,,219.519,13829.697,-435.153,HOLD,,,SHORGAN-BOT,long
2025-09-30,BTBT,570.0,2.66,1516.2,,2.955,1684.35,168.15,HOLD,,,SHORGAN-BOT,long
2025-09-30,CVX,-93.0,157.265054,-14625.65,,154.28,-14348.04,277.61,HOLD,,,SHORGAN-BOT,short
2025-09-30,DAKT,743.0,20.97,15580.71,,20.49,15224.07,-356.64,HOLD,,,SHORGAN-BOT,long
2025-09-30,EMBC,68.0,15.23,1035.64,,13.91,945.88,-89.76,HOLD,,,SHORGAN-BOT,long
2025-09-30,FBIO,1708.0,3.789585,6472.61118,,3.5713,6099.7804,-372.83078,HOLD,,,SHORGAN-BOT,long
2025-09-30,GPK,142.0,21.07,2991.94,,19.26,2734.92,-257.02,HOLD,,,SHORGAN-BOT,long
2025-09-30,INCY,61.0,83.97,5122.17,,84.06,5127.66,5.49,HOLD,,,SHORGAN-BOT,long
2025-09-30,IONQ,-200.0,74.57925,-14915.85,,63.13,-12626.0,2289.85,HOLD,,,SHORGAN-BOT,short
2025-09-30,MFIC,770.0,12.16,9363.2,,11.95,9201.5,-161.7,HOLD,,,SHORGAN-BOT,long
2025-09-30,NCNO,-348.0,29.72,-10342.56,,27.17,-9455.16,887.4,HOLD,,,SHORGAN-BOT,short
2025-09-30,ORCL,21.0,239.04,5019.84,,281.06,5902.26,882.42,HOLD,,,SHORGAN-BOT,long
2025-09-30,PG,-132.0,153.037424,-20200.94,,153.74,-20293.68,-92.74,HOLD,,,SHORGAN-BOT,short
2025-09-30,RGTI,65.0,15.350692,997.795,,30.13,1958.45,960.655,HOLD,,,SHORGAN-BOT,long
2025-09-30,RIVN,714.0,14.495,10349.43,,14.995,10706.43,357.0,HOLD,,,SHORGAN-BOT,long
2025-09-30,SAVA,200.0,2.17,434.0,,2.9444,588.88,154.88,HOLD,,,SHORGAN-BOT,long
2025-09-30,SPY,18.0,649.101667,11683.83,,663.26,11938.68,254.85,HOLD,,,SHORGAN-BOT,long
2025-09-30,SRRK,193.0,32.109534,6197.14,,37.45,7227.85,1030.71,HOLD,,,SHORGAN-BOT,long
2025-09-30,UNH,42.0,341.419048,14339.6,,344.83,14482.86,143.26,HOLD,,,SHORGAN-BOT,long
2025-09-30,TOTAL,,,,,,50930.39,5646.4312199999995,,54212.89,105143.28,SHORGAN-BOT,
