symbol,quantity,avg_price,current_price,pnl,pnl_pct,side,date_acquired
AAPL,84,226.91,256.28,2466.72,12.94%,long,2025-09-16
CVX,31,157.87,159.25,42.94,0.88%,long,2025-09-16
GOOGL,24,237.86,252.43,349.54,6.12%,long,2025-09-16
HD,12,416.53,410.01,-78.24,-1.57%,long,2025-09-16
JNJ,30,175.38,175.76,11.55,0.22%,long,2025-09-16
JPM,64,299.23,315.77,1058.56,5.53%,long,2025-09-16
MSFT,34,500.62,512.91,417.96,2.46%,long,2025-09-16
NVDA,60,175.99,180.01,241.5,2.29%,long,2025-09-16
PG,33,157.82,151.5,-208.4,-4.00%,long,2025-09-16
WMT,35,103.84,101.85,-69.55,-1.91%,long,2025-09-16
XOM,44,112.23,114.05,80.08,1.62%,long,2025-09-16
